,acc,val_acc,loss,val_loss
0,0.905799993796,0.978699996233,0.296801724013,0.0648886506308
1,0.965966661125,0.98579999727,0.114119601967,0.0452888746537
2,0.973566662033,0.98889999789,0.0889140239951,0.0340296412928
3,0.977599995742,0.987099997342,0.0741157090772,0.035010897301
4,0.980299996257,0.990999998152,0.0649099149863,0.0274568665204
5,0.982116663277,0.990999998212,0.0574121721174,0.026933600264
6,0.98318332996,0.991499998331,0.0544565487368,0.0254075623804
7,0.985116663545,0.990099997997,0.0481675317636,0.0266375137855
8,0.985983330488,0.991099998176,0.0451245347103,0.0266361846346
9,0.987516664128,0.990999997973,0.0411549293807,0.0265253843597
10,0.987549997369,0.992599998474,0.0394495133474,0.0211448397047
11,0.988666664302,0.991799998224,0.0372141631918,0.0240754972912
12,0.9885999976,0.99219999826,0.0357853453344,0.0226498199076
13,0.98909999766,0.991799998224,0.033763170877,0.0241013287684
14,0.990249997904,0.993299998522,0.0307717089156,0.0229729946354
15,0.990049997856,0.993199998677,0.0307233570985,0.0233430971666
16,0.990716664662,0.993199998558,0.028391740344,0.0232768926346
17,0.991033331364,0.992899998486,0.0275354780741,0.0221949885179
18,0.991566664855,0.993399998605,0.0262537607076,0.0221789793873
19,0.991649998109,0.994199998796,0.0267155186675,0.020595893
20,0.991833331595,0.993299998581,0.0247280926492,0.0209995522513
21,0.992016664942,0.993399998546,0.0245136153283,0.0243639981362
22,0.992366665016,0.992899998486,0.0236296373427,0.0224061944669
23,0.992283331662,0.993699998617,0.0231835548967,0.0191916496817
24,0.992399998377,0.992899998486,0.0228880557322,0.021281745448
25,0.993266665171,0.994099998772,0.02091838142,0.0196753584045
26,0.993299998502,0.992499998569,0.0200290286457,0.0224953100549
27,0.993416665167,0.992899998546,0.0202131323086,0.0251581631856
28,0.993183331817,0.993699998617,0.0211757645404,0.0210449556246
29,0.993466665208,0.993599998653,0.0184869218082,0.0209760475058
30,0.993616665264,0.993699998617,0.0195641301496,0.0217843759574
31,0.99429999874,0.993899998724,0.0183275058753,0.0199506063541
32,0.994599998802,0.994699998856,0.0168454297797,0.0182922011545
33,0.99454999875,0.993899998665,0.017438193479,0.0204292021006
34,0.994683332155,0.993599998593,0.0162830528666,0.0208407912952
35,0.994866665522,0.993999998629,0.0156583629105,0.0191477347012
36,0.994983332276,0.993299998581,0.0159989217242,0.0224566995857
37,0.994516665399,0.993599998534,0.0162427349654,0.0213503109946
38,0.994966665506,0.993699998617,0.0143806211332,0.0213705888929
39,0.995249998887,0.994099998653,0.0144086194032,0.0216803988538
40,0.995183332215,0.994199998796,0.0144346077428,0.0231406543394
41,0.995233332286,0.993799998641,0.0139078715775,0.0227961270802
42,0.995349998951,0.994199998677,0.013464539154,0.0214572958623
43,0.995216665596,0.993999998629,0.0143545303293,0.0209422273965
44,0.995233332266,0.993099998534,0.0135911735492,0.0235527270244
45,0.994966665536,0.993099998474,0.0149383436862,0.0233619825584
46,0.996149999102,0.994199998736,0.0120568974854,0.0228833890398
47,0.995666665643,0.993899998665,0.0136589816644,0.0237527552393
48,0.995633332362,0.994099998772,0.0132955494798,0.0201849500012
