,acc,val_acc,loss,val_loss
0,0.888449995122,0.967599995017,0.365214494884,0.102085162746
1,0.947816659292,0.974999994993,0.18070878392,0.0808710077573
2,0.957766659677,0.978099995613,0.148189421767,0.0724923306459
3,0.962333326499,0.980599996209,0.131775479258,0.0657868841408
4,0.965783326844,0.981899996161,0.120426071227,0.0616525823229
5,0.968316660563,0.981399996281,0.112560997106,0.0646280254186
6,0.969299994389,0.982799996495,0.107889983961,0.0589330546462
7,0.971133327822,0.983299996495,0.10153306895,0.0605814567272
8,0.971483327707,0.983299996376,0.0984176185682,0.0559878879675
9,0.973233328044,0.983599996567,0.0930490051353,0.0547493147638
10,0.97411666129,0.983699996591,0.0908709045309,0.0537447684014
11,0.974499994854,0.983499996424,0.0880496428201,0.0555482089493
12,0.975366661668,0.984399996758,0.0875734875887,0.0526593857439
13,0.975966661751,0.984599996686,0.0836689268562,0.0525383908666
14,0.978099995295,0.983899996638,0.07863063883,0.0535318469867
15,0.978049995244,0.984899996758,0.0775446821159,0.0519476514029
16,0.978633328656,0.985199996829,0.0756711589579,0.0503104310233
17,0.978766661982,0.984999996781,0.0735469253893,0.050409920904
18,0.979199995697,0.984999996781,0.0705594245149,0.0507759802175
19,0.980449995776,0.984599996805,0.0719820603039,0.0510628723421
20,0.979566662272,0.985199996829,0.0713557124345,0.0522978665452
21,0.980183328907,0.984799996734,0.0695524346464,0.0508412284023
22,0.980333329022,0.985499996901,0.0675070036455,0.0505054150882
23,0.98029999576,0.985199996829,0.0683565995099,0.0497874305652
24,0.980816662431,0.985699996948,0.0660600954994,0.0494181687287
25,0.981666662554,0.985699996948,0.0657425108729,0.0508944807892
26,0.982549996138,0.985699996948,0.0603979188586,0.049297916123
27,0.98158332926,0.985299996972,0.0628738721249,0.0487818030711
28,0.980866662463,0.985099996686,0.0655401241974,0.0501387203466
29,0.982449996074,0.986499997139,0.0641302423379,0.0487632995278
30,0.982099995911,0.985899996996,0.0630566679823,0.0475680780393
31,0.982433329344,0.985399996877,0.0607464946152,0.0490462270688
32,0.982483329515,0.986699997306,0.0599477362693,0.0476838987831
33,0.984133329809,0.986899997234,0.0564867425607,0.0470698869809
34,0.982816663047,0.98599999702,0.058287243725,0.0482980864039
35,0.982983329554,0.986399997115,0.0580738020685,0.0465552117443
36,0.983449996312,0.985699996948,0.0571573454012,0.0468924613139
37,0.983016662816,0.986999997139,0.0584417401955,0.045859358644
38,0.983949996253,0.986499997258,0.055757812677,0.0477860131849
39,0.984216663202,0.986799997211,0.0535467578301,0.0477411162599
40,0.984333329916,0.986599997044,0.0543128181512,0.0476640450759
41,0.984499996483,0.986899997115,0.053969660359,0.0471982773946
42,0.984349996448,0.986699997187,0.0530945608438,0.0465126829646
43,0.985133329988,0.986599997163,0.0506845295734,0.0464852243452
44,0.985049996515,0.986699997187,0.0514814946273,0.0472710685408
45,0.984516663194,0.986799997091,0.0526387127796,0.0474948205607
46,0.985016663313,0.987099997163,0.05155869855,0.0469974450997
47,0.984633329888,0.986999997139,0.0522223255273,0.046870727769
48,0.985666663587,0.98649999702,0.0503067055739,0.0467539490384
49,0.985366663416,0.986799997091,0.049675587126,0.0465026681377
50,0.985133329988,0.986899997115,0.0494957125372,0.0455495859808
51,0.984949996591,0.986799997091,0.0499777145991,0.0476097987244
52,0.985649996797,0.987499997258,0.0483940773801,0.0452077293622
53,0.986299996853,0.986899997234,0.04862291302,0.0460406073028
54,0.986133330305,0.986499997139,0.0486392191666,0.0456787459555
55,0.986116663575,0.987099997282,0.0476797671095,0.0457370409059
56,0.986416663587,0.987299997211,0.0465389026157,0.0454017047583
57,0.986549996833,0.986299997091,0.0472833532169,0.0454669050943
58,0.986533330301,0.986899997234,0.0467804350419,0.0454534210144
59,0.986049996754,0.986799997091,0.0484499074717,0.0459454481491
60,0.987233330329,0.987399997234,0.0443012179209,0.0448719096017
61,0.986033330142,0.986999997258,0.0467625428822,0.0455749412097
62,0.986583330353,0.986799997091,0.0455131718353,0.0457643997018
63,0.98674999702,0.986999997258,0.0462847734442,0.0454102017035
64,0.986816663643,0.987299997211,0.0454057144201,0.0465349683566
65,0.987533330401,0.987399997234,0.0434641196531,0.0459068656372
66,0.986516663631,0.987399997234,0.0460653352833,0.0465237611947
67,0.987616663754,0.987499997258,0.0427986464462,0.045206043586
68,0.987083330353,0.987099997282,0.0435747091641,0.045498107475
